section,statement_id,claim_id,statement,evidence_path,status,limitation
2.6,RPT-025,CLM-021,"physical and clinical limitations",project_registry/unresolved_artifacts.csv,SAFE,"AFE PCB ADC silicon ASIC signoff fabrication and clinical validation absent"
2.4,RPT-026,CLM-001,"reproduction entry points Vivado projects and GPDK045 flow",REPRODUCIBILITY_KR.md,SAFE,"licensed tools external GPDK and raw datasets required"
2.4·2.5,RPT-027,CLM-025,"GPDK045 actual-core RTL-to-mapped Conformal 13-module PASS diff0 abort0",verification/asic_gpdk45_core/README_KR.md,SAFE,"logical equivalence not classification accuracy or routed signoff"
2.5·2.6,RPT-028,CLM-024,"GPDK045 mapped and post-route cell count and area",verification/asic_gpdk45_core/results/ppa_summary.csv,CAREFUL,"generic core-only syn_map; scan QoR clock slew PG fill antenna and foundry signoff incomplete"
2.5·2.6,RPT-029,CLM-026,"GPDK045 explicit extracted setup WNS +2.980 ns hold WNS -0.050 ns and 86 clock slew violations",tables/asic_gpdk45_ppa.csv,CAREFUL,"setup-hold and clock-rule closure not achieved"
2.5·2.6,RPT-030,CLM-027,"GPDK045 vectorless total power 3.35554239 mW",tables/asic_gpdk45_ppa.csv,CAREFUL,"default activity 0.10 not workload or measured silicon power"
2.4,RPT-031,CLM-028,"GPDK045 wrapper reduced-parameter synthetic Xcelium smoke cycle mismatch 0",verification/asic_gpdk45_core/results/equivalence_summary.csv,SAFE,"not default workload actual ECG 36-case formal proof or accuracy"
2.5·2.6,RPT-032,CLM-029,"GPDK045 run-2 scan-free core mapped and post-route PPA and timing",verification/asic_gpdk45_run2/core/results/ppa_summary.csv,CAREFUL,"hold and data-net max-transition residuals remain"
2.5·2.6,RPT-033,CLM-030,"GPDK045 run-2 AXI-inclusive accelerator mapped and post-route PPA and timing",verification/asic_gpdk45_run2/axi/results/ppa_summary.csv,CAREFUL,"accelerator block excludes MicroBlaze SoC pads and package; hold and data-net max-transition residuals remain"
2.5·2.6,RPT-034,CLM-031,"GPDK045 run-2 fixed global engineering timing derate assumption",verification/asic_gpdk45_run2/run_manifest.json,CAREFUL,"slow early 0.95 and fast late 1.05 are not foundry-characterized AOCV POCV or LVF"
2.4,RPT-035,CLM-032,"Run-2 wrapper RTL canonical digital 36/36 and actual raw XMODEL 4/4 exact regression",verification/asic_gpdk45_run2/regression/regression_summary.csv,SAFE,"canonical digital cohort is regenerated and actual raw XMODEL archive remains 4/36"
2.4·2.5,RPT-036,CLM-033,"Run-2 mapped-to-postroute LEC core 6178 and AXI 6287 compare points with diff abort unknown 0",verification/asic_gpdk45_run2/lec/equivalence_summary.csv,SAFE,"logical equivalence is not timing closure classification accuracy four-state GLS or signoff"
2.4,RPT-037,CLM-034,"Unmodified four-state gate output X and forced two-state mapped seed sensitivity boundary",verification/asic_gpdk45_run2/gate/gate_verification_summary.csv,CAREFUL,"testbench-conditioned finite seed experiment is not general GLS reset or power-up proof"
2.4,RPT-038,CLM-036,"MAX-SDF post-route seed-11 conditional pilot and SDFNCAP warning boundary",verification/asic_gpdk45_run2/sdf/sdf_pilot_summary.csv,CAREFUL,"single-seed forced-initialization pilot with timing checks disabled is not SDF regression or signoff"
2.5·2.6,RPT-039,CLM-035,"Exploratory PG attempt failed with 171 connectivity and 715 geometry violations",verification/asic_gpdk45_run2/pg/attempt_summary.csv,CAREFUL,"no implemented PG IR EM top PG source or foundry-rule claim"
2.5·2.6,RPT-040,CLM-037,"GPDK045 run-2 core and AXI post-route vectorless total power",tables/asic_gpdk45_run2_ppa.csv,CAREFUL,"default PI and sequential activity 0.10; not workload power energy per decision or measured silicon power"
2.5·2.6,RPT-041,CLM-038,"GPDK045 run-2 core seed-conditioned activity power windows and matched total delta",verification/asic_gpdk45_run2/power/activity_power_summary.csv,CAREFUL,"zero-delay mapped-gate conditional activity; normalized SAIF parse is not numeric coverage; prefix has no Snapshot/decision; not silicon power or energy per decision; AXI remains vectorless only"
2.5·2.6,RPT-042,CLM-039,"GPDK045 run-3 core hold and DRV closure",verification/asic_gpdk45_hold_closure/results/closure_summary.csv,CAREFUL,"generic padless signal-route core under fixed engineering OCV; not foundry signoff"
2.5·2.6,RPT-043,CLM-040,"GPDK045 run-3 AXI hold closure and residual DRV clock limits",verification/asic_gpdk45_hold_closure/results/closure_summary.csv,CAREFUL,"hold closed but data max-transition and clock slew fail; no full physical closure claim"
2.5·2.6,RPT-044,CLM-041,"GPDK045 run-4 AXI hold clock and internal DRC closure improvement with residual data transition",verification/asic_gpdk45_axi_closure_run4/results/closure_summary.csv,CAREFUL,"data max-transition still fails; generic padless signal-route block; no full physical closure or foundry signoff claim"
2.5·2.6,RPT-045,CLM-042,"GPDK045 run-5 AXI setup hold data-transition clock and internal DRC full closure",verification/asic_gpdk45_axi_full_closure_run5/results/closure_summary.csv,CAREFUL,"50 percent floorplan area tradeoff; generic padless signal-route block; no PG fill foundry signoff fabrication or silicon claim"
