claim_id,category,claim_kr,status,evidence_path,scope,limitations
CLM-014,timing_history,"RDM-to-prediction 병목은 pipeline 분할과 lookup 적용으로 제거되었고 기능 정합을 유지한 채 timing closure를 달성했다",CAREFUL,verification/timing_optimization/RTL_TIMING_OPTIMIZATION_HISTORY_KR.md,development history,최적화 전 hotspot 수치와 최종 자원을 직접 비교하지 않음
CLM-015,benchmark,"Exact C++ median 1777.6998 ms 대비 FPGA 활성시간 36.0129 ms로 활성시간 비율은 49.36배이다",CAREFUL,models/digital_equivalence/results/accelerator_benefit_summary.csv,preloaded compute kernel active-time comparison,end-to-end latency나 보드 전체 speedup이 아님
CLM-016,power,"1 kSPS 연속 처리 할당전력은 142.0 mW로 추정되었다",CAREFUL,models/digital_equivalence/results/wearable_power_budget.csv,Vivado activity-based allocated FPGA estimate,실측 보드 전력이 아님
CLM-017,power,"30분마다 36.0129 ms 동작하고 완전히 power-gating한다고 가정한 평균전력은 2.991 uW이다",CAREFUL,models/digital_equivalence/results/power_energy_summary.csv,conditional ideal average,현재 FPGA 소비전력으로 표현 금지
CLM-018,streaming,"Pure RTL은 1800000개 원시 표본 전체를 저장하지 않고 사건과 뉴런 상태를 순차 갱신한다",SAFE,docs/STREAMING_STATE_MEMORY_KR.md,pure RTL architecture,회피한 raw window 2.7 MB는 측정된 memory saving이 아님
CLM-019,holter,"24시간 이상 Holter streaming은 설계 지향점이다",CAREFUL,docs/LIMITATIONS_AND_CLAIM_BOUNDARY_KR.md,future direction,실제 24시간 정확도 처리시간 전력 미검증
CLM-020,clinical,"임상적으로 검증된 진단 시스템이다",FORBIDDEN,project_registry/unresolved_artifacts.csv,all,clinical validation 미수행
CLM-021,physical,"물리 AFE PCB ADC silicon 또는 fabricated ASIC/full-chip sign-off를 검증했다",FORBIDDEN,project_registry/unresolved_artifacts.csv,all,"GPDK045 generic run-1 core와 run-2 scan-free core/AXI exploratory signal post-route만 수행; hold data-transition PG fill complete antenna foundry DRC/LVS DFT pad package fabrication 미완료"
CLM-022,novelty,"검토한 대표 선행연구 범위에서는 기록 단위 네 클래스 증거 상태화 장시간 누적 RTL FPGA 구현과 다단계 추적성을 함께 적용한 사례를 확인하지 못했다",CAREFUL,docs/RELATED_WORK_HOLTER_ECG_KR.md,reviewed representative literature,세계 최초 또는 동일 연구 부재로 확대 금지
CLM-023,data_quality,"30분 구간은 원천 DB label과 가용한 beat/rhythm annotation을 대조해 해당 클래스의 박동 및 리듬 증거가 충분히 포함되는지 점검했다",SAFE,docs/DATASET_AND_EVALUATION_KR.md,annotation-based segment label representativeness QC,"annotation은 데이터 구성과 품질 점검에만 사용하며 최종 RTL 입력이 아니고 database-class confounding을 제거하지 않음"
CLM-024,asic_implementation,"Generic GPDK045 GSCLIB v4.7에서 core-only Genus mapping과 Innovus signal post-route를 수행했으며 mapped 35188 cells 93585.906 um2 post-route 35663 instances 95321.556 um2였다",CAREFUL,verification/asic_gpdk45_core/results/ppa_summary.csv,"snn_ecg_asic_core_top PROFILE_EN=0 generic 45 nm exploratory block","syn_map only; SDFFQX1 995 undefined scan 10.70 percent; clock slew 86; VDD/VSS and fill absent; internal DRC 1; antenna incomplete; no foundry signoff"
CLM-025,asic_equivalence,"GPDK045 core RTL-to-mapped Conformal LEC에서 13개 hierarchical module이 PASS하고 diff 0 abort 0이었다",SAFE,verification/asic_gpdk45_core/results/equivalence_summary.csv,"RTL-to-mapped logical equivalence","classification accuracy 100 percent or routed-netlist signoff equivalence를 뜻하지 않음"
CLM-026,asic_timing,"GPDK045 100 MHz extracted explicit report는 setup WNS +2.980 ns hold WNS -0.050 ns였고 clock slew 위반 86개가 남았다",CAREFUL,tables/asic_gpdk45_ppa.csv,"slow 1.08 V 125 C setup fast 1.32 V 0 C hold same gpdk045.tch","setup-hold clock-rule closure 미달성; scan QoR 및 generic demo library 한계"
CLM-027,asic_power,"GPDK045 setup-slow post-route vectorless total power는 3.35554239 mW로 추정되었다",CAREFUL,tables/asic_gpdk45_ppa.csv,"internal 2.42385086 switching 0.92844734 leakage 0.00324419 mW; default PI/sequential activity 0.10","workload VCD/SAIF power silicon measurement PG IR or energy per decision이 아님"
CLM-028,asic_wrapper_smoke,"GPDK045 wrapper와 원본 top의 reduced-parameter synthetic 16-sample Xcelium smoke는 cycle mismatch 0으로 PASS했다",SAFE,verification/asic_gpdk45_core/results/equivalence_summary.csv,"8 samples per snapshot 2 snapshots PROFILE_EN 0 versus 1","default 60000x30 actual ECG 36-case formal equivalence 또는 accuracy가 아님"
CLM-029,asic_run2_core,"GPDK045 run-2 scan-free core는 mapped 36565 cells 94421.754 um2와 post-route 42958 instances 120287.898 um2를 기록했다",CAREFUL,verification/asic_gpdk45_run2/core/results/ppa_summary.csv,"snn_ecg_asic_core_top PROFILE_EN 0 slow-early 0.95 and fast-late 1.05 engineering derates","hold WNS -0.008 ns TNS -0.094 ns 37 paths and max-transition violations remain; no foundry signoff"
CLM-030,asic_run2_axi,"GPDK045 run-2 AXI-inclusive accelerator block은 mapped 37293 cells 96548.994 um2와 post-route 43901 instances 123650.100 um2를 기록했다",CAREFUL,verification/asic_gpdk45_run2/axi/results/ppa_summary.csv,"snn_ecg_axi_asic_top PROFILE_EN 0; excludes MicroBlaze interconnect memory UART pads and package","hold WNS -0.016 ns TNS -0.518 ns 107 paths and max-transition violations remain"
CLM-031,asic_run2_ocv,"Run-2 timing은 slow early 0.95 및 fast late 1.05의 fixed 5 percent global engineering derate를 사용했다",CAREFUL,verification/asic_gpdk45_run2/run_manifest.json,"exploratory OCV assumption with CPPR","foundry-characterized AOCV POCV LVF 또는 signoff variation model이 아님"
CLM-032,asic_run2_regression,"Run-2 scan-free core wrapper RTL은 canonical digital 36/36과 actual raw XMODEL 4/4에서 expected class와 membranes가 exact하게 일치했다",SAFE,verification/asic_gpdk45_run2/regression/regression_summary.csv,"PROFILE_EN 0 default 60000x30 gap 2","canonical 36은 regenerated digital cohort이며 actual raw XMODEL archive는 여전히 4/36"
CLM-033,asic_run2_postroute_lec,"Run-2 mapped-to-postroute LEC는 core 6178 points와 AXI 6287 points에서 diff abort unknown 0으로 PASS했다",SAFE,verification/asic_gpdk45_run2/lec/equivalence_summary.csv,"mapped-to-postroute logical equivalence","timing closure classification accuracy SDF GLS 또는 signoff를 뜻하지 않음"
CLM-034,asic_run2_gate,"Testbench-only forced digital two-state initialization sensitivity에서 mapped seeds 11 22 33의 raw case0 output이 expected와 exact하게 일치했다",CAREFUL,verification/asic_gpdk45_run2/gate/gate_verification_summary.csv,"release at 10 ns; mapped coverage 6045/6045; release X 0","unmodified four-state run remained X; finite sampled initialization only; not general GLS reset robustness power-up proof or signoff"
CLM-035,asic_run2_pg,"Exploratory PG attempt은 171 connectivity와 715 geometry violation으로 실패했다",CAREFUL,verification/asic_gpdk45_run2/pg/attempt_summary.csv,"geometry-only ring stripe filler assumptions; selected core and AXI checkpoints remain signal-only with VDD/VSS unrouted","PG implemented 또는 IR EM verified로 표현 금지; top PG pad/source foundry rule 부재"
CLM-036,asic_run2_sdf,"Testbench-only forced initialization MAX-SDF postroute seed 11 raw case0 pilot은 expected output과 exact하게 일치했다",CAREFUL,verification/asic_gpdk45_run2/sdf/sdf_pilot_summary.csv,"release at 10 ns; SDF coverage 6044/6044; timing checks disabled; 88 SDFNCAP warnings","single-seed sampled sensitivity only; not general SDF GLS reset robustness timing regression or signoff"
CLM-037,asic_run2_power,"GPDK045 run-2 post-route vectorless total power는 core 3.71626492 mW와 AXI-inclusive accelerator block 3.69335598 mW로 추정되었다",CAREFUL,tables/asic_gpdk45_run2_ppa.csv,"default PI and sequential activity 0.10 with no activity file","workload VCD/SAIF power energy per decision silicon measurement PG IR or product power가 아님"
CLM-038,asic_run2_activity_power,"GPDK045 run-2 core의 seed11-conditioned activity 분석은 accelerated gap2 2.02536072 mW active-wait idle 1.91083992 mW literal 1 kSPS 100-sample prefix 1.91084079 mW와 matched total delta 0.00000087 mW를 기록했다",CAREFUL,verification/asic_gpdk45_run2/power/activity_power_summary.csv,"mapped gate 6045/6045 -access +rwc zero delay normalized SAIF parse PASS full-X/Z preserved unannotated default 0","core-only conditional windows; no numeric annotation coverage PASS; prefix는 Snapshot/decision 아님; silicon power 또는 energy per decision 아님; AXI activity power 없음"
CLM-039,asic_run3_core_closure,"GPDK045 run-3 core는 setup WNS +2.470 ns hold WNS/TNS/path 0 data max-transition 0 clock slew 0 internal DRC 0을 기록했다",CAREFUL,verification/asic_gpdk45_hold_closure/results/closure_summary.csv,"same 100 MHz SDC 100 ps hold uncertainty slow-early 0.95 fast-late 1.05 engineering derates; 43016 instances 120532.428 um2","generic padless signal-route core only; VDD/VSS PG fill antenna foundry DRC/LVS DFT pad package fabrication 미포함"
CLM-040,asic_run3_axi_hold_closure,"GPDK045 run-3 AXI-inclusive block은 setup WNS +2.435 ns hold WNS/TNS/path 0을 기록했다",CAREFUL,verification/asic_gpdk45_hold_closure/results/closure_summary.csv,"44062 instances 124717.482 um2; mapped-to-postroute LEC 6287 points clean","data max-transition 264 nets 1387 terminals와 clock slew 263 pins가 남아 full physical closure 또는 run-2 AXI QoR 대체 주장이 아님"
